-147.5,0,120
-147.501398166165,-0.18181906656901,119.997583637339
-147.502572211503,-0.363639718455061,119.995167274677
-147.503522136525,-0.545461679406784,119.992750912016
-147.504247942083,-0.727284673116221,119.990334549355
-147.504749629368,-0.909108423361193,119.987918186694
-147.505027199913,-1.09093265384799,119.985501824032
-147.50508065559,-1.27275708833799,119.983085461371
-147.504909998614,-1.45458145061651,119.98066909871
-147.504515231536,-1.63640546443014,119.978252736049
-147.503896357253,-1.81822885355027,119.975836373387
-147.503053378998,-2.00005134178925,119.973420010726
-147.501986300346,-2.18187265292198,119.971003648065
-147.500695125212,-2.36369251076518,119.968587285404
-147.499179857853,-2.54551063913049,119.966170922742
-147.497440502863,-2.72732676185641,119.963754560081
-147.495477065179,-2.90914060277722,119.96133819742
-147.493289550078,-3.09095188575492,119.958921834758
-147.490877963175,-3.27276033464809,119.956505472097
-147.488242310428,-3.45456567332811,119.954089109436
-147.485382598134,-3.63636762571112,119.951672746775
-147.48229883293,-3.81816591566376,119.949256384113
-147.478991021792,-3.99996026712983,119.946840021452
-147.475459172039,-4.18175040403605,119.944423658791
-147.471703291328,-4.36353605033977,119.94200729613
-147.467723387656,-4.54531692998211,119.939590933468
-147.46351946936,-4.72709276696723,119.937174570807
-147.459091545118,-4.90886328528386,119.934758208146
-147.454439623947,-5.09062820893731,119.932341845485
-147.449563715205,-5.27238726194984,119.929925482823
-147.444463828588,-5.45414016839265,119.927509120162
-147.439139974133,-5.63588665230745,119.925092757501
-147.433592162219,-5.81762643776995,119.922676394839
-147.427820403559,-5.999359248906,119.920260032178
-147.421824709212,-6.18108480982903,119.917843669517
-147.415605090573,-6.36280284465617,119.915427306856
-147.409161559377,-6.54451307757173,119.913010944194
-147.4024941277,-6.72621523274883,119.910594581533
-147.395602807957,-6.90790903439706,119.908178218872
-147.388487612902,-7.08959420671568,119.905761856211
-147.38114855563,-7.27127047395701,119.903345493549
-147.373585649574,-7.45293756039537,119.900929130888
-147.365798908507,-7.63459519029598,119.898512768227
-147.357788346541,-7.81624308799413,119.896096405566
-147.349553978128,-7.99788097781687,119.893680042904
-147.341095818058,-8.17950858413064,119.891263680243
-147.332413881464,-8.3611256312787,119.888847317582
