57.677,0.0068185,120
46.208,30.749,118.21
19.296,55.477,116.41
-13.353,59.404,114.62
-43.271,38.717,112.82
-63.408,8.7045,111.03
-57.901,-24.996,109.24
-31.311,-54.577,107.44
1.6787,-68.515,105.65
34.961,-54.444,103.85
64.306,-24.946,102.06
72.003,11.045,100.26
50.563,43.643,98.47
19.79,72.509,96.676
-18.624,74.796,94.882
-51.145,47.735,93.088
-79.607,16.049,91.294
-77.956,-24.135,89.499
-46.228,-57.414,87.705
-14.059,-86.234,85.911
27.669,-82.192,84.117
61.897,-46.576,82.323
92.876,-14.398,80.529
