Grid_X,Grid_Y,Grid_Z,Range_Index,Time_Delay,Phase_Compensation,Index_Last,Index_Next,Interp_Weight,Data_Last_Real,Data_Last_Imag,Data_Next_Real,Data_Next_Imag,Power_Contrib_Real,Power_Contrib_Imag,Power_Contrib_Magnitude,Power_Contrib_Phase,Total_Power_Real,Total_Power_Imag,Total_Power_Magnitude,Total_Power_Phase
19.88,-0.16,-5.4,11,1.41167071429105e-06,88697.8869060922,85,86,0.700242857462854,-49.4773784997773,-61.5872471928221,-9.3316215008065,-11.6155887297588,-19.9525170872934,27.6708738335996,34.1142227939275,2.19552086042998,-206.854127063536,311.472523701113,373.903413870424,2.15703154061805
19.88,-0.16,-5.4,12,1.41166499207779e-06,88697.5273688297,85,86,0.699899524667529,-24.0740422578593,-75.2425444105049,-4.54045580336831,-14.1910296480161,-20.1751237578935,27.5362781815018,34.1362305290929,2.20311647480006,-227.029250821429,339.008801882615,408.006431913059,2.16088592357206
19.88,-0.16,-5.4,13,1.41165930566327e-06,88697.170080868,85,86,0.699558339796283,4.3581854499657,-78.8796945961615,0.821970328310446,-14.8770099869763,-20.3959656387067,27.4003726436867,34.1581005816805,2.21068331940799,-247.425216460136,366.409174526302,442.125458345695,2.16473163227397
19.88,-0.16,-5.4,14,1.41165365504278e-06,88696.8150419114,85,86,0.699219302566604,32.0522836292014,-72.2056169155366,6.04518242747139,-13.6182535881737,-20.6150398590835,27.2631823793884,34.1798329697995,2.21822146891967,-268.040256319219,393.67235690569,476.259911812189,2.16856862634829
19.88,-0.16,-5.4,15,1.41164804021102e-06,88696.4622516275,85,86,0.698882412661291,55.4506674742217,-56.2692054028071,10.4582064880185,-10.6125858501678,-20.8323370834218,27.1247375895838,34.2014277137825,2.2257307487121,-288.872593402641,420.797094495274,510.409218132698,2.17239686141111
19.88,-0.16,-5.4,16,1.41164246116214e-06,88696.111709648,85,86,0.698547669728512,71.6526285320998,-33.2701190926771,13.5139578788002,-6.27487082123835,-21.0478441268439,26.9850718754401,34.2228848361821,2.23321082551732,-309.920437529485,447.782166370714,544.572810667331,2.17621628040381
19.88,-0.16,-5.4,17,1.4116369178897e-06,88695.7634155681,85,86,0.698215073381746,78.7538727354211,-6.23117398032597,14.8532795061675,-1.17522307877199,-21.2615595865825,26.8442101079017,34.2442043617744,2.24066178561364,-331.181997116068,474.626376478616,578.750129557659,2.18002684212628
19.88,-0.16,-5.4,18,1.41163141038666e-06,88695.4173689469,85,86,0.697884623199869,76.0420823872932,21.4149878870879,14.3418255470944,4.0389480499166,-21.4734712129459,26.7021859322036,34.2653863175536,2.24808329851251,-352.655468329013,501.328562410819,612.940622598351,2.18382849362072
19.88,-0.16,-5.4,19,1.41162593864545e-06,88695.0735693069,85,86,0.697556318727081,64.0336037246173,46.2676733155956,12.0769808629504,8.72625891256641,-21.6835813043621,26.5590217102938,34.2864307327365,2.25547556207633,-374.339049633376,527.887584121113,647.143744116903,2.18762120121809
19.88,-0.16,-5.4,20,1.41162050265788e-06,88694.7320161347,85,86,0.697230159472966,44.3572534200039,65.3715080829069,8.36594646445737,12.3293147063025,-21.8918707713437,26.4147574281991,34.307337638759,2.26283795649536,-396.230920404719,554.302341549312,681.358956888233,2.19140490468774
