Pulso_ID,Tiempo_Vuelo_s,Fase_rad,Fase_deg,Indice_Rango_Last,Indice_Rango_Next,Indice_Azimut,Amplitud_Last,Amplitud_Next,Amplitud_Interpolada,Factor_Interpolacion_q,Fase_Compensacion_Real,Fase_Compensacion_Imag,Energia_Acumulada_Real,Energia_Acumulada_Imag,Energia_Acumulada_Magnitud
0,0.000001301563,88702.688823220888,5082289.701032815501,84,85,0,79.000000000001,14.899700043062,33.820291311789,0.704828350547,-0.983888260868,0.178784479545,-29.907267589178,15.791372637094,33.820291311789
1,0.000001301548,88701.766570177948,5082236.859825812280,84,85,1,79.000000000001,14.899700043062,33.876743598772,0.703947663764,-0.451809294816,0.892114544841,29.554906087017,16.557212417692,33.876743598772
2,0.000001301541,88702.172450720958,5082260.115067913197,84,85,2,79.000000000001,14.899700043062,33.851899132202,0.704335251132,-0.767333816718,0.641247856699,-27.751321567575,19.385954351278,33.851899132202
3,0.000001301528,88701.762000562303,5082236.598006121814,84,85,3,79.000000000001,14.899700043062,33.877023310783,0.703943300102,-0.447727971229,0.894169818200,-27.100969021752,20.327080126802,33.877023310783
4,0.000001301519,88700.687901889178,5082175.056685371324,84,85,4,79.000000000001,14.899700043062,33.942770262781,0.702917611423,0.572765730681,0.819719109060,27.502625309142,19.892643218458,33.942770262781
5,0.000001301511,88700.832623925293,5082183.348647242412,84,85,5,79.000000000001,14.899700043062,33.933911642061,0.703055810787,0.448560315702,0.893752562613,-31.342488759838,13.006104630929,33.933911642061
6,0.000001301502,88699.928598667087,5082131.551815374754,84,85,6,79.000000000001,14.899700043062,33.989248183054,0.702192530256,0.979744005762,0.200254046585,28.468058901308,18.569830759619,33.989248183054
7,0.000001301505,88700.379829080688,5082157.405413662083,84,85,7,79.000000000001,14.899700043062,33.961627792968,0.702623423561,0.794357228342,0.607450898246,-30.159266420478,15.614442395638,33.961627792968
8,0.000001301492,88699.893848284919,5082129.560765139759,84,85,8,79.000000000001,14.899700043062,33.991375298341,0.702159346086,0.986110005369,0.166093519772,-27.495327655189,19.985508545106,33.991375298341
9,0.000001301492,88698.864116604542,5082070.561485823244,84,85,9,79.000000000001,14.899700043062,34.054406490033,0.701176024764,0.650263688716,-0.759708585668,25.922658596915,22.084346779024,34.054406490033
10,0.000001301489,88698.961210420239,5082076.124551679939,84,85,10,79.000000000001,14.899700043062,34.048463253531,0.701268742528,0.720848173500,-0.693093002967,-31.322520037658,13.349066949327,34.048463253531
11,0.000001301485,88698.074523457239,5082025.321130950935,84,85,11,79.000000000001,14.899700043062,34.102738495324,0.700422018849,-0.081570938558,-0.996667538341,29.189113852964,17.634976760949,34.102738495324
12,0.000001301485,88698.527770191169,5082051.290255882777,84,85,12,79.000000000001,14.899700043062,34.074994683694,0.700854837598,0.363092775351,-0.931752991134,-30.042467421932,16.079658388659,34.074994683694
13,0.000001301485,88698.013203135110,5082021.807735294104,84,85,13,79.000000000001,14.899700043062,34.106491990581,0.700363462255,-0.142495306334,-0.989795477699,-25.734777704304,22.382448758205,34.106491990581
14,0.000001301496,88697.032458547837,5081965.615209662355,84,85,14,79.000000000001,14.899700043062,34.166524619720,0.699426920161,-0.901717793712,-0.432325132860,26.494126507481,21.573424976009,34.166524619720
15,0.000001301497,88697.088586625134,5081968.831111604348,84,85,15,79.000000000001,14.899700043062,34.163088948401,0.699480518527,-0.876044958658,-0.482229437519,-29.723954400991,16.840522000941,34.163088948401
16,0.000001301499,88696.227263837223,5081919.480951058678,84,85,16,79.000000000001,14.899700043062,34.215811616633,0.698658015851,-0.936555705173,0.350518774258,31.489406604499,13.384283181457,34.215811616633
